pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
4p3i.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_G_)-[GAL(2_G_)]-NAG(1_G_),G FUC 3 C2 C1 NAG 1 O4 C4,G FUC 3 C1 NAG 1 O4 C4 C5,188.857,257.675,"(['FUC(3_G_)', 'NAG(1_G_)'], [52.61, 40.32])","(['3.G', '1.G'], ['-', '4C1'])"
4p3i.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_F_)-[GAL(2_F_)]-NAG(1_F_),F FUC 3 C2 C1 NAG 1 O4 C4,F FUC 3 C1 NAG 1 O4 C4 C5,172.318,251.515,"(['FUC(3_F_)', 'NAG(1_F_)'], [71.33, 47.04])","(['3.F', '1.F'], ['BO3', '4C1'])"
4p3i.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_E_)-[GAL(2_E_)]-NAG(1_E_),E FUC 3 C2 C1 NAG 1 O4 C4,E FUC 3 C1 NAG 1 O4 C4 C5,164.488,266.1091,"(['FUC(3_E_)', 'NAG(1_E_)'], [46.61, 40.36])","(['3.E', '1.E'], ['1C4', '4C1'])"
4p3i.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_H_)-[GAL(2_H_)]-NAG(1_H_),H FUC 3 C2 C1 NAG 1 O4 C4,H FUC 3 C1 NAG 1 O4 C4 C5,162.379,258.001,"(['FUC(3_H_)', 'NAG(1_H_)'], [26.51, 30.57])","(['3.H', '1.H'], ['1C4', '4C1'])"
6or4.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_C_)-[GAL(2_C_)]-NAG(1_C_),C FUC 3 C2 C1 NAG 1 O4 C4,C FUC 3 C1 NAG 1 O4 C4 C5,86.8544,212.902,"(['FUC(3_C_)', 'NAG(1_C_)'], [29.36, 42.55])","(['3.C', '1.C'], ['1C4', '4C1'])"
6or4.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_D_)-[GAL(2_D_)]-NAG(1_D_),D FUC 3 C2 C1 NAG 1 O4 C4,D FUC 3 C1 NAG 1 O4 C4 C5,79.2184,218.685,"(['FUC(3_D_)', 'NAG(1_D_)'], [25.31, 33.04])","(['3.D', '1.D'], ['1C4', '4C1'])"
3ast.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-C6N1O3,FUC(4_C_)-[FUC(3_C_)-GAL(2_C_)]-NAG(1_C_)-NPO(1001_A_),C FUC 4 C2 C1 NAG 1 O4 C4,C FUC 4 C1 NAG 1 O4 C4 C5,169.614,260.3018,"(['FUC(4_C_)', 'NAG(1_C_)'], [15.24, 15.64])","(['4.C', '1.C'], ['1C4', '4C1'])"
3ast.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-C6N1O3,FUC(4_D_)-[FUC(3_D_)-GAL(2_D_)]-NAG(1_D_)-NPO(1001_B_),D FUC 4 C2 C1 NAG 1 O4 C4,D FUC 4 C1 NAG 1 O4 C4 C5,167.832,257.532,"(['FUC(4_D_)', 'NAG(1_D_)'], [18.53, 22.07])","(['4.D', '1.D'], ['1C4', '4C1'])"
6xuk.pdb,DNeup5Aca2-3DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(4_A_)-[SIA(3_A_)-GAL(2_A_)]-NAG(1_A_),A FUC 4 C2 C1 NAG 1 O4 C4,A FUC 4 C1 NAG 1 O4 C4 C5,168.941,259.549,"(['FUC(4_A_)', 'NAG(1_A_)'], [30.51, 25.37])","(['4.A', '1.A'], ['1C4', '4C1'])"
7l64.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_B_)-[GAL(2_B_)]-NAG(1_B_),B FUC 3 C2 C1 NAG 1 O4 C4,B FUC 3 C1 NAG 1 O4 C4 C5,168.428,257.116,"(['FUC(3_B_)', 'NAG(1_B_)'], [16.15, 35.03])","(['3.B', '1.B'], ['1C4', '4C1'])"
5f93.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,FUC(6_J_)-[FUC(5_J_)-GAL(4_J_)]-NAG(3_J_)-GAL(2_J_)-GLC(1_J_),J FUC 6 C2 C1 NAG 3 O4 C4,J FUC 6 C1 NAG 3 O4 C4 C5,155.803,258.09000000000003,"(['FUC(6_J_)', 'NAG(3_J_)'], [74.98, 63.24])","(['6.J', '3.J'], ['-', '4C1'])"
5f93.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,FUC(6_L_)-[FUC(5_L_)-GAL(4_L_)]-NAG(3_L_)-GAL(2_L_)-GLC(1_L_),L FUC 6 C2 C1 NAG 3 O4 C4,L FUC 6 C1 NAG 3 O4 C4 C5,154.47,254.358,"(['FUC(6_L_)', 'NAG(3_L_)'], [103.16, 91.96])","(['6.L', '3.L'], ['1C4', '4C1'])"
5f93.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpa1-ROH,FUC(6_I_)-[FUC(5_I_)-GAL(4_I_)]-NAG(3_I_)-GAL(2_I_)-GLC(1_I_),I FUC 6 C2 C1 NAG 3 O4 C4,I FUC 6 C1 NAG 3 O4 C4 C5,149.488,253.728,"(['FUC(6_I_)', 'NAG(3_I_)'], [77.34, 62.24])","(['6.I', '3.I'], ['1C4', '4C1'])"
