pdb,phi site,psi site,phi,psi
4rm0.pdb,D FUC 3 C2 C1 NDG 1 O4 C4,D FUC 3 C1 NDG 1 O4 C4 C5,161.112,265.6037
4wzl.pdb,C FUC 3 C2 C1 NDG 1 O4 C4,C FUC 3 C1 NDG 1 O4 C4 C5,154.429,249.90300000000002
4wzl.pdb,D FUC 3 C2 C1 NDG 1 O4 C4,D FUC 3 C1 NDG 1 O4 C4 C5,154.359,249.155
4rdk.pdb,C FUC 4 C2 C1 NDG 1 O4 C4,C FUC 4 C1 NDG 1 O4 C4 C5,164.601,261.5092
4rdk.pdb,D FUC 4 C2 C1 NDG 1 O4 C4,D FUC 4 C1 NDG 1 O4 C4 C5,167.477,262.5391
3lek.pdb,B FUC 4 C2 C1 NDG 1 O4 C4,B FUC 4 C1 NDG 1 O4 C4 C5,160.732,257.097
7vs8.pdb,C FUC 4 C2 C1 NDG 1 O4 C4,C FUC 4 C1 NDG 1 O4 C4 C5,166.407,255.563
7vs8.pdb,D FUC 4 C2 C1 NDG 1 O4 C4,D FUC 4 C1 NDG 1 O4 C4 C5,166.739,256.448
