pdb,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
2gvy.pdb,F GLC 2 C2 C1 GLC 1 O4 C4,F GLC 2 C1 GLC 1 O4 C4 C5,231.874,242.685,"(['GLC(2_F_)', 'GLC(1_F_)'], [34.61, 43.59])","(['2.F', '1.F'], ['4C1', '4C1'])"
2gvy.pdb,G GLC 2 C2 C1 GLC 1 O4 C4,G GLC 2 C1 GLC 1 O4 C4 C5,234.757,249.048,"(['GLC(2_G_)', 'GLC(1_G_)'], [33.67, 32.61])","(['2.G', '1.G'], ['4C1', '-'])"
2gvy.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,249.03300000000002,252.238,"(['GLC(2_D_)', 'GLC(1_D_)'], [45.66, 43.29])","(['2.D', '1.D'], ['4C1', '4C1'])"
5a05.pdb,G GLC 3 C2 C1 GLC 2 O4 C4,G GLC 3 C1 GLC 2 O4 C4 C5,228.112,240.075,"(['GLC(3_G_)', 'GLC(2_G_)'], [42.13, 31.06])","(['3.G', '2.G'], ['4C1', '4C1'])"
5a05.pdb,H GLC 3 C2 C1 GLC 2 O4 C4,H GLC 3 C1 GLC 2 O4 C4 C5,231.677,248.945,"(['GLC(3_H_)', 'GLC(2_H_)'], [40.31, 31.16])","(['3.H', '2.H'], ['4C1', '4C1'])"
5a05.pdb,J GLC 3 C2 C1 GLC 2 O4 C4,J GLC 3 C1 GLC 2 O4 C4 C5,227.126,244.712,"(['GLC(3_J_)', 'GLC(2_J_)'], [49.35, 37.06])","(['3.J', '2.J'], ['4C1', '4C1'])"
5a05.pdb,I GLC 3 C2 C1 GLC 2 O4 C4,I GLC 3 C1 GLC 2 O4 C4 C5,224.99,241.019,"(['GLC(3_I_)', 'GLC(2_I_)'], [42.53, 31.91])","(['3.I', '2.I'], ['4C1', '4C1'])"
2d2o.pdb,C GLC 6 C2 C1 GLC 5 O4 C4,C GLC 6 C1 GLC 5 O4 C4 C5,216.896,207.934,"(['GLC(6_C_)', 'GLC(5_C_)'], [47.37, 24.62])","(['6.C', '5.C'], ['4C1', '4C1'])"
2d2o.pdb,C GLC 5 C2 C1 GLC 4 O4 C4,C GLC 5 C1 GLC 4 O4 C4 C5,233.773,251.963,"(['GLC(5_C_)', 'GLC(4_C_)'], [24.62, 21.44])","(['5.C', '4.C'], ['4C1', '4C1'])"
2d2o.pdb,C GLC 4 C2 C1 GLC 3 O4 C4,C GLC 4 C1 GLC 3 O4 C4 C5,163.826,210.937,"(['GLC(4_C_)', 'GLC(3_C_)'], [21.44, 25.04])","(['4.C', '3.C'], ['4C1', '4C1'])"
2d2o.pdb,C GLC 3 C2 C1 GLC 2 O4 C4,C GLC 3 C1 GLC 2 O4 C4 C5,239.316,241.77800000000002,"(['GLC(3_C_)', 'GLC(2_C_)'], [25.04, 30.72])","(['3.C', '2.C'], ['4C1', '4C1'])"
2d2o.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,241.912,238.44299999999998,"(['GLC(2_C_)', 'GLC(1_C_)'], [30.72, 48.55])","(['2.C', '1.C'], ['4C1', '4C1'])"
2d2o.pdb,D GLC 6 C2 C1 GLC 5 O4 C4,D GLC 6 C1 GLC 5 O4 C4 C5,233.804,233.638,"(['GLC(6_D_)', 'GLC(5_D_)'], [47.67, 30.51])","(['6.D', '5.D'], ['4C1', '4C1'])"
2d2o.pdb,D GLC 5 C2 C1 GLC 4 O4 C4,D GLC 5 C1 GLC 4 O4 C4 C5,233.708,252.051,"(['GLC(5_D_)', 'GLC(4_D_)'], [30.51, 26.29])","(['5.D', '4.D'], ['4C1', '4C1'])"
2d2o.pdb,D GLC 4 C2 C1 GLC 3 O4 C4,D GLC 4 C1 GLC 3 O4 C4 C5,163.116,209.659,"(['GLC(4_D_)', 'GLC(3_D_)'], [26.29, 28.58])","(['4.D', '3.D'], ['4C1', '4C1'])"
2d2o.pdb,D GLC 3 C2 C1 GLC 2 O4 C4,D GLC 3 C1 GLC 2 O4 C4 C5,236.574,234.784,"(['GLC(3_D_)', 'GLC(2_D_)'], [28.58, 38.57])","(['3.D', '2.D'], ['4C1', '4C1'])"
2d2o.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,245.324,216.469,"(['GLC(2_D_)', 'GLC(1_D_)'], [38.57, 62.96])","(['2.D', '1.D'], ['4C1', '4C1'])"
4jbz.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,225.62,223.596,"(['GLC(2_D_)', 'GLC(1_D_)'], [19.53, 28.16])","(['2.D', '1.D'], ['4C1', '4C1'])"
4jbz.pdb,F GLC 2 C2 C1 GLC 1 O4 C4,F GLC 2 C1 GLC 1 O4 C4 C5,224.314,225.723,"(['GLC(2_F_)', 'GLC(1_F_)'], [33.72, 40.9])","(['2.F', '1.F'], ['4C1', '4C1'])"
4jbz.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,223.632,221.706,"(['GLC(2_E_)', 'GLC(1_E_)'], [32.82, 37.6])","(['2.E', '1.E'], ['4C1', '4C1'])"
1nmu.pdb,F GLC 4 C2 C1 GLC 3 O4 C4,F GLC 4 C1 GLC 3 O4 C4 C5,222.032,230.75,"(['GLC(4_F_)', 'GLC(3_F_)'], [43.07, 43.67])","(['4.F', '3.F'], ['-', '-'])"
1nmu.pdb,F GLC 3 C2 C1 GLC 2 O4 C4,F GLC 3 C1 GLC 2 O4 C4 C5,222.755,219.857,"(['GLC(3_F_)', 'GLC(2_F_)'], [43.67, 55.14])","(['3.F', '2.F'], ['-', '-'])"
1nmu.pdb,F GLC 2 C2 C1 GLC 1 O4 C4,F GLC 2 C1 GLC 1 O4 C4 C5,192.608,215.346,"(['GLC(2_F_)', 'GLC(1_F_)'], [55.14, 72.32])","(['2.F', '1.F'], ['-', '4H5'])"
1nmu.pdb,E GLC 4 C2 C1 GLC 3 O4 C4,E GLC 4 C1 GLC 3 O4 C4 C5,223.759,228.325,"(['GLC(4_E_)', 'GLC(3_E_)'], [39.93, 39.82])","(['4.E', '3.E'], ['-', '-'])"
1nmu.pdb,E GLC 3 C2 C1 GLC 2 O4 C4,E GLC 3 C1 GLC 2 O4 C4 C5,225.788,221.412,"(['GLC(3_E_)', 'GLC(2_E_)'], [39.82, 50.98])","(['3.E', '2.E'], ['-', '-'])"
1nmu.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,195.541,210.693,"(['GLC(2_E_)', 'GLC(1_E_)'], [50.98, 68.72])","(['2.E', '1.E'], ['-', '4H5'])"
2c3x.pdb,C GLC 5 C2 C1 GLC 4 O4 C4,C GLC 5 C1 GLC 4 O4 C4 C5,245.32299999999998,242.72899999999998,"(['GLC(5_C_)', 'GLC(4_C_)'], [75.7, 43.82])","(['5.C', '4.C'], ['-', '4C1'])"
2c3x.pdb,C GLC 4 C2 C1 GLC 3 O4 C4,C GLC 4 C1 GLC 3 O4 C4 C5,231.452,237.42000000000002,"(['GLC(4_C_)', 'GLC(3_C_)'], [43.82, 40.34])","(['4.C', '3.C'], ['4C1', '4C1'])"
2c3x.pdb,C GLC 3 C2 C1 GLC 2 O4 C4,C GLC 3 C1 GLC 2 O4 C4 C5,238.312,255.213,"(['GLC(3_C_)', 'GLC(2_C_)'], [40.34, 38.55])","(['3.C', '2.C'], ['4C1', '4C1'])"
2c3x.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,232.656,221.748,"(['GLC(2_C_)', 'GLC(1_C_)'], [38.55, 43.37])","(['2.C', '1.C'], ['4C1', '4C1'])"
1r6z.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,215.936,228.185,"(['GLC(2_D_)', 'GLC(1_D_)'], [30.7, 30.7])","(['2.D', '1.D'], ['4C1', '-'])"
1r6z.pdb,C GLC 2 C2 C1 GLC 1 O4 C4,C GLC 2 C1 GLC 1 O4 C4 C5,225.551,219.967,"(['GLC(2_C_)', 'GLC(1_C_)'], [23.9, 23.9])","(['2.C', '1.C'], ['4C1', '-'])"
1r6z.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,218.227,224.919,"(['GLC(2_B_)', 'GLC(1_B_)'], [31.42, 29.98])","(['2.B', '1.B'], ['4C1', '-'])"
3zt5.pdb,G GLC 2 C2 C1 GLC 1 O4 C4,G GLC 2 C1 GLC 1 O4 C4 C5,203.698,220.421,"(['GLC(2_G_)', 'GLC(1_G_)'], [22.46, 23.75])","(['2.G', '1.G'], ['4C1', '4C1'])"
3zt5.pdb,F GLC 2 C2 C1 GLC 1 O4 C4,F GLC 2 C1 GLC 1 O4 C4 C5,194.333,225.764,"(['GLC(2_F_)', 'GLC(1_F_)'], [24.24, 29.45])","(['2.F', '1.F'], ['4C1', '-'])"
3zt5.pdb,H GLC 2 C2 C1 GLC 1 O4 C4,H GLC 2 C1 GLC 1 O4 C4 C5,190.103,227.131,"(['GLC(2_H_)', 'GLC(1_H_)'], [21.72, 27.03])","(['2.H', '1.H'], ['4C1', '4C1'])"
3zt5.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,210.018,218.878,"(['GLC(2_E_)', 'GLC(1_E_)'], [23.16, 28.18])","(['2.E', '1.E'], ['4C1', '-'])"
5dis.pdb,E GLC 2 C2 C1 GLC 1 O4 C4,E GLC 2 C1 GLC 1 O4 C4 C5,176.526,128.224,"(['GLC(2_E_)', 'GLC(1_E_)'], [231.83, 178.87])","(['2.E', '1.E'], ['-', '4C1'])"
6xrx.pdb,B GLC 2 C2 C1 GLC 1 O4 C4,B GLC 2 C1 GLC 1 O4 C4 C5,223.608,223.645,"(['GLC(2_B_)', 'GLC(1_B_)'], [9.73, 12.7])","(['2.B', '1.B'], ['4C1', '4C1'])"
8g8w.pdb,D GLC 2 C2 C1 GLC 1 O4 C4,D GLC 2 C1 GLC 1 O4 C4 C5,230.643,231.416,"(['GLC(2_D_)', 'GLC(1_D_)'], [24.48, 23.11])","(['2.D', '1.D'], ['4C1', '4C1'])"
1fqb.pdb,B GLC 3 C2 C1 GLC 2 O4 C4,B GLC 3 C1 GLC 2 O4 C4 C5,218.375,222.943,"(['GLC(3_B_)', 'GLC(2_B_)'], [14.71, 14.86])","(['3.B', '2.B'], ['4C1', '4C1'])"
4pqk.pdb,G GLC 2 C2 C1 GLC 1 O4 C4,G GLC 2 C1 GLC 1 O4 C4 C5,210.462,233.108,"(['GLC(2_G_)', 'GLC(1_G_)'], [61.93, 65.17])","(['2.G', '1.G'], ['4C1', '-'])"
