pdb,phi site,psi site,phi,psi
6jlk.pdb,c DGD 521 C2E C1E O5D C6D,c DGD 521 C1E O5D C6D C5D,227.292,274.7246
6jlk.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,228.786,268.39570000000003
6jlk.pdb,c DGD 520 C2E C1E O5D C6D,c DGD 520 C1E O5D C6D C5D,220.151,121.466
6jlk.pdb,c DGD 522 C2E C1E O5D C6D,c DGD 522 C1E O5D C6D C5D,182.918,215.765
6jlk.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,202.976,160.257
6jlk.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,191.365,170.246
6jlk.pdb,C DGD 516 C2E C1E O5D C6D,C DGD 516 C1E O5D C6D C5D,216.99,126.441
6l7o.pdb,A DGD 404 C2E C1E O5D C6D,A DGD 404 C1E O5D C6D C5D,195.493,131.617
6l7o.pdb,A DGD 403 C2E C1E O5D C6D,A DGD 403 C1E O5D C6D C5D,203.64,170.522
6zzx.pdb,8 DGD 803 C2E C1E O5D C6D,8 DGD 803 C1E O5D C6D C5D,233.25900000000001,65.6959
6zzx.pdb,B DGD 5003 C2E C1E O5D C6,B DGD 5003 C1E O5D C6D C5,192.906,211.304
6zzx.pdb,8 DGD 802 C2E C1E O5D C6D,8 DGD 802 C1E O5D C6D C5D,228.992,292.4652
6zzx.pdb,7 DGD 806 C2E C1E O5D C6D,7 DGD 806 C1E O5D C6D C5D,309.5954,166.026
5b66.pdb,C DGD 516 C2E C1E O5D C6D,C DGD 516 C1E O5D C6D C5D,211.898,114.966
5b66.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,184.888,209.213
5b66.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,188.747,208.437
5b66.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,219.267,280.4369
5b66.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,191.611,167.394
5b66.pdb,c DGD 516 C2E C1E O5D C6D,c DGD 516 C1E O5D C6D C5D,218.238,283.8455
5b66.pdb,c DGD 515 C2E C1E O5D C6D,c DGD 515 C1E O5D C6D C5D,215.041,121.546
5b66.pdb,h DGD 101 C2E C1E O5D C6D,h DGD 101 C1E O5D C6D C5D,193.207,165.086
5zji.pdb,B DGD 850 C2E C1E O5D C6D,B DGD 850 C1E O5D C6D C5D,221.895,252.461
5zji.pdb,J DGD 103 C2E C1E O5D C6D,J DGD 103 C1E O5D C6D C5D,294.6898,261.5699
7dxa.pdb,d DGD 412 C2E C1E O5D C6D,d DGD 412 C1E O5D C6D C5D,195.491,172.293
5ws5.pdb,c DGD 517 C2E C1E O5D C6D,c DGD 517 C1E O5D C6D C5D,223.137,123.774
5ws5.pdb,C DGD 519 C2E C1E O5D C6D,C DGD 519 C1E O5D C6D C5D,187.948,205.658
5ws5.pdb,H DGD 102 C2E C1E O5D C6D,H DGD 102 C1E O5D C6D C5D,201.523,165.22
5ws5.pdb,C DGD 517 C2E C1E O5D C6D,C DGD 517 C1E O5D C6D C5D,224.813,127.331
5ws5.pdb,h DGD 102 C2E C1E O5D C6D,h DGD 102 C1E O5D C6D C5D,197.241,161.309
5ws5.pdb,c DGD 518 C2E C1E O5D C6D,c DGD 518 C1E O5D C6D C5D,220.331,274.079
5ws5.pdb,c DGD 519 C2E C1E O5D C6D,c DGD 519 C1E O5D C6D C5D,204.991,204.372
5ws5.pdb,C DGD 518 C2E C1E O5D C6D,C DGD 518 C1E O5D C6D C5D,226.797,269.3185
7y7b.pdb,B DGD 848 C2E C1E O5D C6D,B DGD 848 C1E O5D C6D C5D,195.365,225.098
7y7b.pdb,Z DGD 303 C2E C1E O5D C6D,Z DGD 303 C1E O5D C6D C5D,194.294,222.206
7m76.pdb,L DGD 207 C2E C1E O5D C6D,L DGD 207 C1E O5D C6D C5D,252.776,234.26999999999998
7ew6.pdb,J DGD 103 C2E C1E O5D C6D,J DGD 103 C1E O5D C6D C5D,270.0331,279.5905
7ew6.pdb,B DGD 850 C2E C1E O5D C6D,B DGD 850 C1E O5D C6D C5D,212.974,268.4397
3a0h.pdb,c DGD 6057 C2E C1E O5D C6,c DGD 6057 C1E O5D C6D C5,231.176,202.882
3a0h.pdb,B DGD 1058 C2E C1E O5D C6,B DGD 1058 C1E O5D C6D C5,158.424,129.697
3a0h.pdb,c DGD 6056 C2E C1E O5D C6,c DGD 6056 C1E O5D C6D C5,51.0586,188.058
3a0h.pdb,C DGD 1056 C2E C1E O5D C6,C DGD 1056 C1E O5D C6D C5,51.0225,188.046
3a0h.pdb,b DGD 6058 C2E C1E O5D C6,b DGD 6058 C1E O5D C6D C5,158.389,129.673
3a0h.pdb,C DGD 1055 C2E C1E O5D C6,C DGD 1055 C1E O5D C6D C5,189.525,118.03
3a0h.pdb,C DGD 1057 C2E C1E O5D C6,C DGD 1057 C1E O5D C6D C5,231.136,202.915
3a0h.pdb,c DGD 6055 C2E C1E O5D C6,c DGD 6055 C1E O5D C6D C5,189.479,118.045
5l8r.pdb,B DGD 801 C2E C1E O5D C6D,B DGD 801 C1E O5D C6D C5D,297.1773,168.555
5l8r.pdb,J DGD 1106 C2E C1E O5D C6,J DGD 1106 C1E O5D C6D C5,302.7935,273.8951
5l8r.pdb,B DGD 854 C2E C1E O5D C6D,B DGD 854 C1E O5D C6D C5D,197.181,215.371
5l8r.pdb,G DGD 207 C2E C1E O5D C6D,G DGD 207 C1E O5D C6D C5D,157.769,167.855
5l8r.pdb,4 DGD 319 C2E C1E O5D C6D,4 DGD 319 C1E O5D C6D C5D,187.842,144.091
